get all image files
time used to get image files: 0.03233146667480469
get all image data
time used to extract image data: 40.26200294494629
time used to extract image data: 0.01761794090270996
time used to extract image data: 0.020015954971313477
time used to extract image data: 0.03965902328491211
time used to extract image data: 0.05874490737915039
time used to extract image data: 0.07817530632019043
time used to extract image data: 0.09783673286437988
time used to extract image data: 0.11734962463378906
time used to extract image data: 0.13656401634216309
time used to extract image data: 0.1567533016204834
time used to extract image data: 0.1753535270690918
time used to extract image data: 0.19440960884094238
time used to extract image data: 0.30428147315979004
time used to extract image data: 0.4159848690032959
time used to extract image data: 0.5249128341674805
time used to extract image data: 0.635502815246582
time used to extract image data: 0.7440237998962402
time used to extract image data: 0.8552303314208984
time used to extract image data: 0.9642398357391357
time used to extract image data: 1.0768229961395264
time used to extract image data: 1.1850111484527588
time used to extract image data: 1.2935009002685547
time used to extract image data: 1.4034337997436523
time used to extract image data: 1.5217633247375488
time used to extract image data: 1.6295630931854248
time used to extract image data: 1.7417805194854736
time used to extract image data: 1.8534786701202393
time used to extract image data: 1.9755430221557617
time used to extract image data: 2.086179256439209
time used to extract image data: 2.1976513862609863
time used to extract image data: 2.2089216709136963
time used to extract image data: 2.21842098236084
time used to extract image data: 2.2286722660064697
time used to extract image data: 2.249323606491089
time used to extract image data: 2.26324725151062
time used to extract image data: 2.28078293800354
time used to extract image data: 2.2931692600250244
time used to extract image data: 2.304877281188965
time used to extract image data: 2.318241834640503
time used to extract image data: 2.3744966983795166
time used to extract image data: 2.444319009780884
time used to extract image data: 2.519381046295166
time used to extract image data: 2.5902209281921387
time used to extract image data: 2.622356653213501
time used to extract image data: 2.6807174682617188
time used to extract image data: 2.706973075866699
time used to extract image data: 2.729769229888916
time used to extract image data: 2.8114686012268066
time used to extract image data: 2.8794167041778564
time used to extract image data: 2.893033742904663
time used to extract image data: 2.928807497024536
time used to extract image data: 3.022890090942383
time used to extract image data: 3.0672192573547363
time used to extract image data: 3.11464786529541
time used to extract image data: 3.163759231567383
time used to extract image data: 3.2014153003692627
time used to extract image data: 3.2501220703125
time used to extract image data: 3.2589547634124756
time used to extract image data: 3.338435411453247
time used to extract image data: 3.405308246612549
time used to extract image data: 3.4590530395507812
time used to extract image data: 3.4804773330688477
time used to extract image data: 3.543592691421509
time used to extract image data: 3.630798816680908
time used to extract image data: 3.6686184406280518
time used to extract image data: 3.7270936965942383
time used to extract image data: 3.8092715740203857
time used to extract image data: 3.8462417125701904
time used to extract image data: 4.127772331237793
time used to extract image data: 4.273941516876221
time used to extract image data: 4.469511270523071
time used to extract image data: 4.540516138076782
time used to extract image data: 4.5912065505981445
time used to extract image data: 4.648284196853638
time used to extract image data: 4.7064619064331055
